LOCATION,LAND_AREA,ROAD_ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,AMENITIES,Tole,City,City_Tole_Encoded,total_rooms,area_road_interaction,room_age_interaction,LAND_AREA_squared,room_density_squared,PRICE
113,2.3978952727983707,3.044522437723423,31,2.5,5.0,3.0,2065.0,229,19,10,60,8.0,200.0,128.0,100.0,0.5289256198347108,17.01418371633128
50,2.3978952727983707,2.6390573296152584,27,3.0,4.0,3.0,2078.0,1398,230,13,373,7.0,130.0,21.0,100.0,0.4049586776859504,17.216707972959764
252,2.3978952727983707,2.6390573296152584,11,3.0,5.0,3.0,2076.0,780,166,13,359,8.0,130.0,40.0,100.0,0.5289256198347108,17.034386422832473
153,2.3978952727983707,2.5649493574615367,11,2.5,5.0,4.0,2076.0,526,61,10,91,9.0,120.0,45.0,100.0,0.6694214876033059,17.72753358339242
216,2.3978952727983707,2.772588722239781,11,2.0,6.0,5.0,2076.0,671,127,10,134,11.0,150.0,55.0,100.0,1.0,17.370858648025116
44,2.3978952727983707,2.6390573296152584,25,2.5,5.0,6.0,2079.0,1374,206,10,189,11.0,130.0,22.0,100.0,1.0,17.93454774903691
60,2.3978952727983707,2.6390573296152584,31,3.5,6.0,5.0,2075.0,16,278,10,238,11.0,130.0,66.0,100.0,1.0,17.41282284594998
199,2.3978952727983707,3.044522437723423,4,2.5,4.0,5.0,2068.0,193,109,10,123,9.0,200.0,117.0,100.0,0.6694214876033059,17.989897843244528
243,2.3978952727983707,3.044522437723423,11,2.5,5.0,4.0,2077.0,385,157,13,357,9.0,200.0,36.0,100.0,0.6694214876033059,17.822843761378564
280,2.3978952727983707,2.6390573296152584,25,2.5,5.0,4.0,2072.0,580,195,1,15,9.0,130.0,81.0,100.0,0.6694214876033059,17.341871111992198
252,2.3978952727983707,2.70805020110221,25,2.5,5.0,3.0,2076.0,685,166,13,359,8.0,140.0,40.0,100.0,0.5289256198347108,17.11134746100564
153,2.3978952727983707,3.332204510175204,15,3.5,6.0,4.0,2068.0,297,61,10,91,10.0,270.0,130.0,100.0,0.8264462809917354,17.6441519761925
227,2.3978952727983707,2.4849066497880004,20,4.5,8.0,4.0,2072.0,72,138,10,143,12.0,110.0,108.0,100.0,1.190082644628099,17.11134746100564
152,2.3978952727983707,2.6390573296152584,17,2.5,5.0,5.0,2059.0,1372,60,10,90,10.0,130.0,220.0,100.0,0.8264462809917354,18.603002309079653
470,2.3978952727983707,2.4849066497880004,20,3.0,5.0,3.0,2075.0,113,395,10,320,8.0,110.0,48.0,100.0,0.5289256198347108,16.993564429978885
223,2.3978952727983707,3.295836866004329,4,2.0,4.0,4.0,2065.0,139,134,10,139,8.0,260.0,128.0,100.0,0.5289256198347108,16.733281344102608
462,2.3978952727983707,2.6390573296152584,4,2.5,6.0,4.0,2070.0,694,389,13,398,10.0,130.0,110.0,100.0,0.8264462809917354,17.1654146803266
247,2.3978952727983707,2.772588722239781,4,1.0,1.0,7.0,2076.0,64,161,10,160,8.0,150.0,40.0,100.0,0.5289256198347108,17.281246492014
131,2.3978952727983707,2.6390573296152584,15,2.5,5.0,5.0,2077.0,1209,36,13,340,10.0,130.0,40.0,100.0,0.8264462809917354,17.622173069956816
41,2.3978952727983707,3.1354942159291497,24,2.5,5.0,6.0,2070.0,314,194,22,415,11.0,220.0,121.0,100.0,1.0,18.15280131186866
131,2.3978952727983707,3.044522437723423,31,3.0,4.0,5.0,2076.0,853,36,13,340,9.0,200.0,45.0,100.0,0.6694214876033059,17.886245271612086
252,2.3978952727983707,2.6390573296152584,4,2.5,6.0,5.0,2077.0,223,166,13,359,11.0,130.0,44.0,100.0,1.0,17.296750678069195
156,2.3978952727983707,2.1972245773362196,31,2.5,4.0,2.0,2062.0,967,64,10,92,6.0,80.0,114.0,100.0,0.29752066115702475,17.370858648025116
347,2.3978952727983707,2.6390573296152584,4,2.5,4.0,4.0,2072.0,827,266,13,381,8.0,130.0,72.0,100.0,0.5289256198347108,17.491811255187805
420,2.3978952727983707,2.70805020110221,20,3.0,5.0,5.0,2076.0,261,341,10,283,10.0,140.0,50.0,100.0,0.8264462809917354,18.643824303266577
191,2.3978952727983707,2.772588722239781,4,2.5,5.0,6.0,2067.0,1248,100,10,117,11.0,150.0,154.0,100.0,1.0,17.281246492014
