Price,Floors,Area,Road_Width,City_Bhaktapur,City_Kathmandu,City_Lalitpur,Road_Type_Blacktopped,Road_Type_Gravelled,Road_Type_Soil Stabilized
45000000,3.0,6.0,20.0,0,1,0,1,0,0
39000000,1.0,11.0,15.011154999999999,0,0,1,0,0,1
17000000,3.0,3.75,12.0,0,1,0,1,0,0
16500000,2.5,3.0,10.0,0,1,0,0,1,0
20500000,2.5,3.75,13.0,0,1,0,1,0,0
25000000,3.0,4.75,13.0,0,0,1,1,0,0
12500000,2.0,3.0,16.0,1,0,0,0,0,1
21000000,1.0,4.0,20.0,0,0,1,0,1,0
35200000,2.75,5.5,20.0,0,0,1,1,0,0
37100000,2.75,6.0,20.0,0,0,1,1,0,0
55000000,3.0,5.0,14.0,0,1,0,1,0,0
34500000,2.75,5.25,20.0,0,0,1,1,0,0
45000000,3.0,6.0,13.0,0,1,0,1,0,0
22500000,3.0,3.1,14.0,0,1,0,0,1,0
23500000,3.0,3.0,13.0,0,1,0,1,0,0
28200000,2.0,4.25,40.0,0,0,1,1,0,0
13000000,1.0,3.5,10.0,0,1,0,0,1,0
32500000,3.0,4.0,13.0,0,1,0,1,0,0
26000000,3.0,5.0,13.0,0,1,0,1,0,0
24000000,4.0,5.0,13.0,0,1,0,0,1,0
17700000,2.5,2.5,12.0,0,0,1,1,0,0
16800000,3.0,3.0,14.0,0,1,0,0,1,0
34000000,3.0,5.5,30.0,0,1,0,1,0,0
42500000,3.0,12.0,14.0,0,1,0,0,1,0
41000000,2.5,5.0,10.0,0,1,0,1,0,0
37500000,4.0,7.25,12.0,0,0,1,1,0,0
16000000,2.5,3.0,13.0,0,1,0,1,0,0
21500000,2.5,4.0,20.0,0,0,1,1,0,0
60000000,2.5,6.0,13.0,0,1,0,1,0,0
30000000,2.75,3.0,16.391479999999998,0,0,1,0,0,1
81000000,3.0,21.0,15.0,0,1,0,0,1,0
55000000,2.0,12.0,22.0,0,1,0,1,0,0
30000000,2.75,3.0,16.391479999999998,0,1,0,0,0,1
17500000,3.0,3.25,15.0,0,1,0,0,0,1
65000000,2.0,12.0,12.0,0,1,0,1,0,0
80000000,4.0,9.0,8.0,0,1,0,1,0,0
20000000,2.75,3.0,12.9375,0,0,1,0,0,1
31000000,3.0,4.0,10.0,0,1,0,1,0,0
19500000,3.0,3.0,20.0,0,0,1,0,0,1
65000000,2.0,8.0,20.0,0,1,0,1,0,0
37000000,3.0,6.0,16.0,0,1,0,1,0,0
19000000,2.0,3.0,15.0,0,1,0,1,0,0
65000000,3.0,8.0,22.0,0,1,0,1,0,0
19500000,2.5,3.25,20.0,0,0,1,1,0,0
24000000,3.0,4.0,14.0,0,1,0,1,0,0
35000000,2.75,4.75,30.0,1,0,0,1,0,0
23500000,3.0,4.0,13.0,0,0,1,0,1,0
24000000,2.0,3.9375,18.0,0,1,0,1,0,0
40000000,3.0,9.375,14.816065764411027,0,0,1,1,0,0
39999999,3.0,5.125,28.0,1,0,0,1,0,0
43500000,3.0,7.75,13.0,0,1,0,1,0,0
45000000,3.0,6.0,20.0,0,1,0,1,0,0
85000000,3.0,13.0,20.0,0,1,0,1,0,0
61000000,4.0,11.0,13.0,0,1,0,1,0,0
45000000,3.0,6.0,15.0,0,1,0,1,0,0
49500000,3.0,4.5,14.0,0,1,0,1,0,0
24000000,3.0,3.5,15.0,0,1,0,1,0,0
22500000,3.0,2.5,14.0,0,1,0,1,0,0
69000000,3.0,12.0,22.0,0,1,0,1,0,0
68000000,2.75,8.0,30.0,0,1,0,1,0,0
62000000,3.0,17.0,14.0,0,1,0,0,1,0
69000000,3.0,12.0,20.0,0,1,0,1,0,0
45000000,3.0,6.0,15.0,0,1,0,1,0,0
65000000,2.0,12.0,16.0,0,1,0,1,0,0
42000000,4.0,6.0,20.0,0,1,0,1,0,0
13000000,1.35,3.5,10.0,0,0,1,0,1,0
12700000,1.5,3.1875,10.0,0,0,1,0,1,0
11000000,1.5,2.5,16.0,0,0,1,0,1,0
12000000,1.5,3.0,13.0,0,0,1,0,1,0
12500000,1.5,3.8125,13.0,0,0,1,0,1,0
19000000,3.0,3.5,10.0,0,1,0,0,1,0
11500000,1.5,2.875,13.0,0,0,1,0,1,0
15000000,1.5,4.125,16.0,0,0,1,1,0,0
11000000,1.5,3.0,13.0,0,0,1,0,1,0
23000000,3.0,4.0,13.0,0,1,0,0,1,0
60000000,4.0,5.5,13.0,0,1,0,1,0,0
25500000,3.0,4.0,14.0,0,1,0,1,0,0
55000000,2.0,7.0,14.0,0,1,0,1,0,0
22200000,2.75,3.25,15.40574557213761,0,0,1,0,0,1
55000000,3.0,7.0,14.0,0,1,0,1,0,0
25500000,4.0,3.75,14.0,0,1,0,1,0,0
27500000,2.0,4.0,15.0,0,1,0,1,0,0
63000000,2.0,10.0,16.0,0,1,0,1,0,0
34500000,3.0,6.0,30.0,0,1,0,1,0,0
38000000,2.0,9.0,16.0,0,1,0,1,0,0
12000000,1.5,5.25,4.0,0,0,1,1,0,0
12500000,1.0,3.0,13.0,0,0,1,0,0,1
23500000,3.0,3.75,13.0,0,0,1,1,0,0
27000000,3.0,3.5,13.0,0,0,1,1,0,0
27600000,3.0,4.0,13.0,0,1,0,0,1,0
70000000,2.75,22.0,16.0,0,1,0,1,0,0
22500000,2.0,3.0,15.0,0,1,0,1,0,0
23500000,2.0,3.0,16.0,0,1,0,1,0,0
70000000,3.0,22.0,15.0,0,1,0,1,0,0
42500000,3.0,6.0,15.0,0,1,0,1,0,0
18000000,3.0,3.1,13.0,0,1,0,0,1,0
27500000,3.0,4.0,14.0,0,1,0,0,1,0
33000000,2.5,5.0,15.0,0,1,0,1,0,0
21000000,2.5,4.0,20.0,0,0,1,0,1,0
28500000,3.0,4.8125,13.0,0,0,1,1,0,0
17500000,2.75,5.0,20.0,0,1,0,0,0,1
15500000,2.0,4.0,11.0,0,1,0,0,0,1
42000000,3.0,8.5,13.0,0,1,0,0,1,0
19000000,3.0,3.25,11.058823529411764,0,0,1,1,0,0
21000000,2.5,3.0625,13.0,0,0,1,1,0,0
85000000,3.0,14.0,14.0,0,1,0,1,0,0
17000000,10.0,3.5,10.0,0,1,0,0,0,1
18500000,2.5,3.0,14.0,0,1,0,0,1,0
17000000,3.0,3.0,16.0,0,1,0,0,1,0
32500000,3.0,4.0,20.0,0,1,0,1,0,0
29800000,3.0,4.0,15.0,0,1,0,1,0,0
29900000,3.0,5.0,20.0,0,1,0,1,0,0
49000000,3.0,5.3,14.0,0,1,0,1,0,0
29900000,2.5,3.0,10.0,0,1,0,1,0,0
21000000,3.0,3.0,13.0,0,1,0,1,0,0
100000000,3.0,19.0,13.0,0,1,0,1,0,0
33500000,3.0,4.0,14.0,0,1,0,1,0,0
28500000,3.0,4.0,15.0,0,1,0,0,1,0
50000000,3.0,11.0,16.0,0,1,0,1,0,0
35000000,3.0,5.0,20.0,0,1,0,1,0,0
49000000,3.0,8.5,13.0,0,1,0,0,1,0
39000000,3.0,7.0,15.0,0,1,0,1,0,0
29000000,3.0,4.0,13.0,0,1,0,1,0,0
44500000,3.0,5.0,16.0,0,1,0,1,0,0
29800000,3.0,4.1,16.0,0,1,0,1,0,0
45000000,13.0,5.259313367421475,20.0,0,0,1,1,0,0
38700000,3.0,4.0,15.0,0,1,0,1,0,0
39000000,3.0,4.0,13.0,0,1,0,1,0,0
15000000,1.5,4.75,18.0,0,1,0,1,0,0
32500000,2.0,5.75,11.0,0,1,0,1,0,0
90000000,2.5,20.0,16.0,0,0,1,1,0,0
21000000,2.5,4.0,14.0,0,1,0,1,0,0
21500000,2.5,3.25,20.0,0,0,1,1,0,0
22500000,2.5,3.5,20.0,0,0,1,1,0,0
35000000,2.0,7.0,20.0,0,1,0,0,1,0
60000000,2.0,14.0,16.0,0,1,0,1,0,0
75000000,2.0,11.0,18.0,0,1,0,1,0,0
36500000,2.0,5.0,15.0,0,1,0,0,1,0
37500000,2.0,5.0,15.0,0,1,0,1,0,0
24000000,2.0,4.0,14.0,0,1,0,1,0,0
55000000,2.75,5.0,15.0,0,1,0,1,0,0
29500000,2.0,4.0,13.0,0,1,0,1,0,0
45000000,2.75,7.0,16.0,0,1,0,1,0,0
80000000,2.75,21.0,16.0,0,1,0,1,0,0
35000000,2.0,5.0,15.0,0,1,0,1,0,0
57500000,2.0,12.0,16.0,0,1,0,1,0,0
55000000,2.0,9.0,20.0,0,1,0,1,0,0
67500000,2.75,9.0,20.0,0,1,0,1,0,0
55000000,2.0,8.0,14.0,0,1,0,1,0,0
35000000,2.0,5.0,15.0,0,1,0,1,0,0
36000000,2.0,6.0,15.0,0,1,0,1,0,0
26000000,2.0,4.0,14.0,0,1,0,1,0,0
47500000,2.0,9.0,16.0,0,1,0,1,0,0
18200000,3.0,3.2,13.0,0,1,0,1,0,0
26000000,3.0,4.0,14.0,0,1,0,1,0,0
39000000,3.0,7.0,14.0,0,1,0,1,0,0
33500000,3.0,5.5,13.0,0,1,0,0,1,0
39900000,3.0,7.0,14.0,0,1,0,1,0,0
18000000,4.0,3.6785975164353535,11.875,0,0,1,0,0,1
32500000,4.0,4.0,20.0,0,1,0,1,0,0
29000000,3.0,5.0,14.0,0,1,0,0,1,0
36000000,3.0,6.0,13.0,0,1,0,1,0,0
47500000,3.0,9.0,15.0,0,1,0,0,0,1
28000000,2.75,4.0,12.0,0,1,0,1,0,0
15000000,2.5,2.5,13.0,0,0,1,0,1,0
20000000,2.5,3.5,13.0,0,0,1,0,1,0
23000000,3.0,3.5,13.0,0,1,0,0,1,0
18500000,2.5,3.5,13.0,0,0,1,0,1,0
24500000,3.0,4.0,22.0,0,1,0,0,1,0
23800000,3.0,4.0,18.0,0,1,0,1,0,0
39000000,3.0,6.5,15.0,0,1,0,0,0,1
31000000,3.0,4.5,14.0,0,1,0,1,0,0
29000000,3.0,4.0,13.0,0,1,0,0,1,0
25000000,3.0,3.5,13.0,0,1,0,0,1,0
56000000,3.0,8.0,15.0,0,1,0,1,0,0
67500000,3.0,9.0,20.0,0,1,0,1,0,0
37500000,3.0,3.75,13.0,0,1,0,1,0,0
35000000,3.0,4.75,13.0,0,1,0,1,0,0
22000000,2.5,3.5,20.0,0,0,1,0,1,0
19500000,2.5,3.5,13.0,0,0,1,0,1,0
17000000,2.5,3.5,20.0,0,0,1,1,0,0
17500000,2.5,3.125,16.0,0,0,1,0,1,0
17500000,2.5,3.125,13.0,0,0,1,0,1,0
22000000,2.75,3.25,20.0,0,1,0,1,0,0
22000000,2.5,6.0,11.0,0,1,0,0,1,0
19000000,2.75,3.5,11.058823529411764,0,0,1,0,0,1
22000000,2.5,2.75,13.0,0,1,0,1,0,0
17500000,3.0,3.1,15.0,0,1,0,0,0,1
18000000,2.0,3.125,11.875,0,0,1,0,0,1
34000000,2.75,6.0,14.0,0,1,0,0,0,1
26300000,2.75,4.0,13.0,0,1,0,0,0,1
37000000,2.75,5.25,13.0,0,1,0,0,0,1
17000000,2.5,3.375,13.0,0,0,1,0,1,0
17000000,2.5,3.0,13.0,0,0,1,0,1,0
16000000,2.75,3.0,12.0,0,1,0,1,0,0
22000000,3.0,3.75,13.0,0,0,1,1,0,0
11500000,1.0,4.0,13.0,0,1,0,1,0,0
19700000,3.0,3.5,13.0,0,0,1,0,0,1
29000000,3.0,4.0,20.0,0,1,0,0,1,0
45000000,3.0,8.5,13.0,0,1,0,0,1,0
36000000,3.0,7.0,30.0,0,1,0,0,0,1
35500000,3.0,5.5,13.0,0,1,0,0,1,0
24100000,3.0,2.75,13.0,0,1,0,1,0,0
40000000,3.0,7.5,20.0,0,1,0,1,0,0
20000000,3.0,3.0,20.0,0,0,1,1,0,0
18000000,3.0,3.1,13.0,0,0,1,1,0,0
35000000,3.0,6.5,12.0,0,0,1,0,1,0
17000000,2.75,3.0,12.0,0,1,0,0,0,1
26000000,2.5,3.5,13.0,0,1,0,1,0,0
25500000,3.0,3.5,13.0,0,1,0,1,0,0
68000000,3.0,12.0,15.0,0,1,0,1,0,0
21500000,3.0,3.5,20.0,0,1,0,0,1,0
18200000,3.0,3.0,13.0,0,1,0,0,1,0
80000000,3.0,21.0,14.0,0,1,0,1,0,0
19900000,3.0,3.1,12.0,0,1,0,1,0,0
72000000,3.0,17.0,15.0,0,1,0,1,0,0
60000000,3.0,6.0,13.0,0,1,0,1,0,0
57500000,3.0,12.0,15.0,0,1,0,1,0,0
66000000,3.0,14.0,20.0,0,1,0,1,0,0
29900000,3.0,4.0,13.0,0,1,0,1,0,0
29900000,3.0,4.0,13.0,0,1,0,1,0,0
33500000,3.0,5.0,20.0,0,1,0,1,0,0
37500000,2.75,4.75,16.0,0,0,1,0,1,0
23000000,3.0,5.25,20.0,0,1,0,0,0,1
20600000,3.0,3.1,13.0,0,1,0,0,0,1
26000000,3.0,4.0,26.0,0,1,0,1,0,0
65000000,2.75,8.0,20.0,0,1,0,1,0,0
45000000,3.0,7.0,15.0,0,1,0,1,0,0
28500000,3.0,4.0,16.0,0,1,0,1,0,0
40000000,2.5,5.0,13.0,0,1,0,1,0,0
19000000,2.75,4.0,11.058823529411764,0,0,1,0,0,1
11000000,1.0,2.75,13.0,0,0,1,0,0,1
19200000,3.0,3.0625,20.0,0,0,1,1,0,0
36000000,3.0,5.5,13.0,0,1,0,1,0,0
20500000,2.75,4.0,15.0,0,1,0,0,1,0
18000000,3.0,3.1,13.0,0,1,0,0,1,0
72000000,3.0,13.0,15.0,0,1,0,1,0,0
23000000,3.0,4.0,13.0,0,1,0,1,0,0
19900000,3.0,3.1,13.0,0,1,0,1,0,0
40000000,4.0,4.0,14.0,0,1,0,1,0,0
21500000,3.0,3.5,13.0,0,1,0,0,1,0
34500000,2.0,4.0,16.114173333333333,0,1,0,0,0,1
70000000,2.0,16.0,14.0,0,1,0,1,0,0
55000000,2.75,6.2,32.8084,0,1,0,0,1,0
65000000,3.0,15.0,14.0,0,1,0,1,0,0
62000000,3.0,8.0,13.0,0,1,0,1,0,0
25500000,3.5,4.5,13.0,0,1,0,1,0,0
28000000,2.75,5.75,20.0,0,0,1,0,0,1
20000000,0.0,3.0,14.0,0,1,0,0,1,0
67500000,2.0,14.0,15.0,0,1,0,1,0,0
35000000,2.0,7.0,15.0,0,1,0,0,1,0
32500000,3.0,4.0,30.0,0,1,0,1,0,0
22000000,3.0,5.0,15.0,0,1,0,1,0,0
35000000,3.0,6.0,33.0,0,1,0,1,0,0
26000000,3.0,4.0,12.0,0,1,0,0,1,0
26500000,3.0,4.0,14.0,0,1,0,1,0,0
60000000,4.0,5.1,13.727272727272727,0,1,0,0,0,1
37000000,4.0,5.0,16.0,0,1,0,1,0,0
27000000,3.0,6.0,13.0,1,0,0,1,0,0
27500000,3.0,4.5,13.0,0,1,0,1,0,0
18000000,3.0,3.0,13.0,0,1,0,0,1,0
32000000,2.75,3.25,11.857142857142858,0,1,0,0,0,1
38500000,3.0,5.625,13.0,0,0,1,1,0,0
35000000,4.0,4.0,22.0,0,1,0,1,0,0
18200000,2.75,3.0,13.0,0,1,0,1,0,0
18000000,3.0,3.3125,9.0,0,1,0,1,0,0
45000000,2.75,8.0,15.0,0,1,0,0,0,1
49500000,2.75,9.0,15.0,0,1,0,1,0,0
70000000,2.0,10.0,20.0,0,0,1,1,0,0
70000000,3.0,9.5,20.0,0,1,0,1,0,0
25000000,2.75,4.0,20.0,0,0,1,1,0,0
16000000,4.0,4.0,10.0,0,0,1,1,0,0
12000000,1.0,3.0625,12.0,0,0,1,0,0,1
27800000,3.0,5.0,13.0,0,1,0,0,1,0
36000000,2.75,6.5,20.0,0,0,1,1,0,0
100000000,4.0,13.5,13.0,0,1,0,1,0,0
60000000,2.75,9.25,20.0,0,1,0,1,0,0
65000000,3.0,15.0,13.0,0,1,0,0,0,1
56000000,3.0,10.0,20.0,0,1,0,0,0,1
44500000,3.0,8.1,15.0,0,1,0,1,0,0
85000000,2.75,17.0,13.0,0,1,0,0,0,1
38000000,2.75,8.0,13.0,0,1,0,1,0,0
19000000,3.0,3.125,10.0,0,1,0,1,0,0
47500000,2.75,8.0,20.0,0,1,0,1,0,0
25000000,2.75,4.0,20.0,0,1,0,1,0,0
22500000,3.0,3.875,13.0,0,0,1,0,1,0
35000000,2.75,6.0,20.0,0,0,1,1,0,0
50000000,2.0,7.0,10.0,0,1,0,1,0,0
25000000,4.0,3.0,13.0,0,1,0,0,1,0
16500000,2.0,3.0625,14.0,0,1,0,1,0,0
46000000,2.75,7.0,13.0,0,1,0,1,0,0
30000000,3.0,7.5,15.0,1,0,0,1,0,0
28000000,3.0,5.0,13.0,0,1,0,0,1,0
35000000,2.75,4.25,13.0,0,1,0,1,0,0
49000000,2.75,4.5,12.0,0,1,0,1,0,0
21500000,3.0,3.5,13.0,0,1,0,0,1,0
25500000,3.0,5.0,20.0,0,1,0,0,1,0
16500000,2.75,3.0625,13.0,0,1,0,0,1,0
22000000,2.75,4.25,13.0,0,1,0,0,1,0
70000000,2.0,12.0,14.0,0,1,0,1,0,0
39500000,3.0,5.75,20.0,0,1,0,1,0,0
18000000,1.0,5.25,12.0,0,1,0,1,0,0
22000000,3.0,3.0,14.0,0,1,0,0,0,1
47000000,2.75,6.0,13.0,0,1,0,1,0,0
22500000,2.75,3.0,12.0,0,1,0,0,1,0
45000000,3.0,8.0,20.0,0,1,0,1,0,0
22000000,3.0,5.0,14.0,0,1,0,0,1,0
17000000,2.0,4.0,13.0,0,0,1,0,1,0
30000000,4.0,4.0,30.0,0,1,0,1,0,0
19000000,3.0,4.0625,13.0,0,0,1,0,1,0
12000000,1.0,2.6875,10.0,0,1,0,0,1,0
20000000,2.75,4.0,15.0,0,1,0,0,0,1
17000000,2.75,3.0,13.0,0,0,1,1,0,0
17000000,2.75,3.0,10.0,0,1,0,0,1,0
44000000,3.0,4.0,15.0,0,1,0,1,0,0
100000000,3.0,20.0,20.0,0,1,0,1,0,0
96000000,3.0,18.0,20.0,0,1,0,1,0,0
28500000,3.0,4.5,20.0,0,1,0,1,0,0
22500000,2.75,4.0,16.0,0,1,0,1,0,0
41000000,2.75,8.1,15.0,0,1,0,1,0,0
65000000,3.0,6.5,15.0,0,1,0,1,0,0
35000000,3.0,6.5,32.0,0,1,0,1,0,0
20000000,2.75,3.25,13.0,0,1,0,1,0,0
18000000,2.75,3.0,16.0,0,1,0,1,0,0
35000000,2.75,7.0,15.0,0,1,0,0,1,0
17600000,2.75,2.8125,13.0,0,0,1,0,0,1
18500000,2.75,3.5,13.0,0,1,0,0,1,0
25000000,3.0,5.5,12.0,0,0,1,0,1,0
33000000,4.0,5.0,12.0,0,1,0,1,0,0
22500000,3.0,3.0,13.0,0,1,0,1,0,0
27500000,3.0,4.0,13.0,0,1,0,1,0,0
23800000,3.0,4.0,13.0,0,0,1,0,1,0
18500000,2.75,3.5,12.0,0,1,0,0,0,1
33000000,2.75,6.25,12.0,0,1,0,0,1,0
23000000,3.0,4.0,12.0,0,1,0,1,0,0
19000000,2.75,2.75,10.0,0,1,0,1,0,0
29800000,2.75,5.5,15.0,0,1,0,1,0,0
26200000,2.75,6.25,13.0,0,1,0,1,0,0
41000000,2.0,8.25,13.0,0,1,0,1,0,0
42000000,2.75,7.0,15.0,0,1,0,1,0,0
25500000,3.0,4.5,13.0,0,1,0,1,0,0
32000000,2.75,4.0,13.0,0,1,0,1,0,0
49500000,2.75,9.0,16.0,0,0,1,1,0,0
80000000,2.75,9.0,20.0,0,0,1,1,0,0
17000000,3.0,3.0,12.0,0,1,0,1,0,0
10000000,1.0,3.0,13.0,0,0,1,1,0,0
30000000,4.0,3.5,33.0,0,0,1,1,0,0
22500000,3.0,3.5,13.0,0,1,0,1,0,0
22000000,2.0,5.0,15.0,0,1,0,0,1,0
36000000,2.75,6.75,20.0,0,1,0,0,1,0
13200000,2.0,2.5,13.0,0,1,0,0,1,0
29000000,4.0,4.25,32.0,0,1,0,0,1,0
20500000,2.75,5.0,20.0,0,1,0,1,0,0
27000000,2.75,3.5,10.571428571428571,0,1,0,0,0,1
19500000,3.0,3.5,13.0,0,0,1,0,1,0
19500000,2.75,4.25,13.0,0,1,0,1,0,0
26500000,3.0,4.0,13.0,0,1,0,1,0,0
25500000,3.0,4.0,13.0,0,1,0,1,0,0
29500000,3.0,6.9375,15.0,0,1,0,1,0,0
23500000,3.0,4.1,13.0,0,1,0,1,0,0
19000000,3.0,3.1875,10.0,0,0,1,0,1,0
23500000,3.0,3.75,20.0,0,0,1,0,1,0
18000000,3.0,3.0,11.0,0,0,1,0,1,0
18500000,3.0,3.25,13.0,0,0,1,0,1,0
24500000,3.0,4.5,10.0,0,1,0,0,1,0
33000000,3.0,4.5,8.0,0,1,0,0,1,0
21500000,3.5,7.0,15.0,1,0,0,0,1,0
26000000,2.75,5.25,12.0,0,0,1,1,0,0
51000000,2.0,14.0,14.0,0,1,0,1,0,0
26500000,2.0,4.0,16.0,0,0,1,0,1,0
29500000,2.75,4.0,11.0,0,0,1,0,0,1
40000000,3.0,3.0,20.0,0,1,0,0,0,1
17500000,3.0,11.0,20.0,0,1,0,0,1,0
90000000,3.0,20.0,15.0,0,1,0,1,0,0
